Tick,Current Floor
2,0
4,0
6,0
8,0
10,0
12,0
14,0
16,0
18,0
20,0
22,0
24,0
26,0
28,0
30,0
32,0
34,0
36,1
38,2
40,2
42,3
44,4
46,4
48,5
50,6
52,7
54,8
56,8
58,9
60,10
62,11
64,11
66,12
68,13
70,13
72,14
74,14
76,15
78,16
80,16
82,17
84,18
86,19
88,19
90,20
92,21
94,22
96,23
98,23
100,24
102,25
104,25
106,26
108,27
110,28
112,29
114,29
116,29
118,29
120,29
122,29
124,29
126,29
128,29
130,29
132,29
134,29
136,29
138,29
140,29
142,29
144,29
146,29
148,29
150,29
152,29
154,29
156,29
158,29
160,29
162,29
164,29
166,29
168,29
170,29
172,29
174,29
176,29
178,29
180,29
182,29
184,29
186,29
188,29
190,29
192,29
194,29
196,29
198,29
200,29
202,29
204,28
206,27
208,27
210,26
212,25
214,24
216,23
218,23
220,22
222,21
224,20
226,19
228,19
230,18
232,17
234,16
236,16
238,15
240,14
242,13
244,13
246,12
248,11
250,10
252,10
254,9
256,8
258,7
260,6
262,6
264,5
266,4
268,4
270,3
272,2
274,1
276,1
278,2
280,3
282,4
284,4
286,5
288,6
290,6
292,7
294,8
296,8
298,9
300,10
302,10
304,11
306,11
308,12
310,13
312,14
314,14
316,15
318,15
320,16
322,17
324,18
326,19
328,19
330,20
332,21
334,21
336,22
338,23
340,23
342,24
344,24
346,25
348,25
350,26
352,27
354,27
356,28
358,29
360,29
362,30
364,30
366,30
368,30
370,30
372,30
374,30
376,30
378,29
380,30
382,30
384,30
386,30
388,30
390,30
392,30
394,30
396,30
398,29
400,28
402,28
404,27
406,26
408,25
410,25
412,24
414,23
416,23
418,22
420,21
422,21
424,20
426,19
428,19
430,18
432,17
434,16
436,15
438,15
440,14
442,13
444,13
446,12
448,11
450,11
452,10
454,9
456,8
458,8
460,7
462,6
464,6
466,5
468,4
470,4
472,3
474,4
476,5
478,6
480,6
482,7
484,8
486,8
488,9
490,10
492,10
494,11
496,11
498,12
500,13
502,14
504,15
506,15
508,16
