Tick,Current Floor
2,0
4,0
6,0
8,0
10,0
12,0
14,0
16,0
18,0
20,0
22,0
24,0
26,0
28,0
30,0
32,0
34,0
36,0
38,0
40,0
42,0
44,0
46,0
48,0
50,0
52,0
54,0
56,1
58,2
60,3
62,4
64,5
66,6
68,7
70,8
72,9
74,10
76,11
78,12
80,13
82,14
84,15
86,16
88,17
90,18
92,19
94,20
96,21
98,22
100,23
102,24
104,25
106,26
108,27
110,28
112,29
114,30
116,31
118,32
120,33
122,34
124,35
126,36
128,37
130,38
132,37
134,36
136,35
138,34
140,33
142,32
144,31
146,30
148,29
150,28
152,27
154,26
156,25
158,24
160,23
162,22
164,21
166,20
168,19
170,18
172,17
174,16
176,15
178,14
180,13
182,12
184,11
186,10
188,9
190,8
192,7
194,6
196,5
198,4
200,3
202,2
204,1
206,0
208,1
210,2
212,3
214,4
216,5
218,6
220,7
222,8
224,9
226,10
228,11
230,12
232,13
234,14
236,15
238,16
240,17
242,18
244,19
246,20
248,21
250,22
252,23
254,24
256,25
258,26
260,27
262,28
264,29
266,30
268,31
270,32
272,33
274,34
276,35
278,36
280,37
282,38
284,39
286,40
288,41
290,42
292,43
294,44
296,45
298,46
300,47
302,48
304,49
306,50
308,51
310,52
312,53
314,54
316,55
318,56
320,57
322,58
324,59
326,60
328,61
330,62
332,63
334,64
336,65
338,66
340,67
342,67
344,68
346,69
348,70
350,71
352,72
354,73
356,74
358,75
360,76
362,77
364,78
366,79
368,80
370,81
372,82
374,83
376,84
378,85
380,86
382,87
384,88
386,89
388,90
390,91
392,92
394,93
396,94
398,95
400,96
402,97
404,98
406,97
408,96
410,95
412,94
414,93
416,92
418,91
420,90
422,89
424,88
426,87
428,86
430,85
432,84
434,83
436,82
438,81
440,80
442,79
444,78
446,77
448,76
450,75
452,74
454,73
456,72
458,71
460,70
462,69
464,68
466,67
468,66
470,65
472,64
474,63
476,62
478,61
480,60
482,59
484,58
486,57
488,56
490,55
492,54
494,53
496,52
498,51
500,50
502,50
504,49
506,48
508,47
510,46
512,45
514,44
516,43
518,42
520,41
522,40
524,39
526,38
528,37
530,36
532,35
534,34
536,33
538,32
540,31
542,30
544,29
546,28
548,27
550,26
552,25
554,24
556,23
558,22
560,21
562,20
564,19
566,18
568,17
570,17
572,16
574,15
576,14
578,13
580,13
582,12
584,11
586,10
588,9
590,8
592,7
594,6
596,5
598,5
600,4
602,3
604,2
606,1
608,0
610,1
612,2
614,3
616,4
618,5
620,6
622,7
624,8
626,9
628,10
630,11
632,12
634,13
636,14
638,15
640,16
642,17
644,18
646,19
648,20
650,21
652,22
654,23
656,24
658,25
660,26
662,26
664,27
666,28
668,29
670,30
672,31
674,32
676,33
678,34
680,35
682,36
684,37
686,38
688,39
690,40
692,41
694,42
696,43
698,44
700,45
702,46
704,47
706,48
708,49
710,50
712,51
714,52
716,53
718,54
720,55
722,56
724,57
726,58
728,59
730,60
732,61
734,62
736,62
738,63
740,64
742,65
744,66
746,67
748,68
750,69
752,70
754,71
756,72
758,73
760,74
762,74
764,75
766,76
768,77
770,78
772,79
774,79
776,80
778,81
780,82
782,83
784,84
786,83
788,83
790,82
792,81
794,80
796,79
798,78
800,77
802,76
804,75
806,74
808,73
810,72
812,71
814,70
816,69
818,68
820,67
822,66
824,65
826,64
828,63
830,62
832,61
834,60
836,59
838,58
840,57
842,56
844,55
846,54
848,53
850,52
852,51
854,50
856,49
858,48
860,47
862,46
864,45
866,44
868,43
870,42
872,41
874,40
876,39
878,38
880,37
882,36
884,35
886,34
888,33
890,32
892,31
894,30
896,29
898,28
900,27
902,26
904,27
906,28
908,29
910,30
912,31
914,32
916,33
918,34
920,35
922,36
924,37
926,38
928,39
930,40
932,41
934,42
936,43
938,44
940,45
942,46
944,47
946,48
948,49
950,50
952,51
954,52
956,53
958,54
960,55
962,56
964,57
966,58
968,59
970,60
972,61
974,62
976,63
978,64
980,65
982,66
984,67
986,68
988,69
990,70
992,71
994,72
996,73
998,74
1000,75
1002,76
1004,77
1006,78
1008,79
1010,80
1012,81
1014,82
1016,83
1018,84
1020,85
1022,86
1024,87
1026,88
1028,89
1030,89
1032,90
1034,91
1036,92
1038,93
1040,94
1042,95
1044,96
1046,97
1048,98
1050,99
1052,100
1054,99
1056,98
1058,97
1060,96
1062,95
1064,94
1066,93
1068,92
1070,91
1072,90
1074,89
1076,88
1078,87
1080,86
1082,85
1084,84
1086,83
1088,82
1090,81
1092,80
1094,79
1096,78
1098,77
1100,76
1102,75
1104,74
1106,73
1108,72
1110,71
1112,70
1114,69
1116,68
1118,67
1120,66
1122,65
1124,64
1126,63
1128,62
1130,61
1132,60
1134,59
1136,58
1138,57
1140,56
1142,55
1144,54
1146,53
1148,52
1150,51
1152,50
1154,49
1156,48
1158,47
1160,46
1162,46
1164,45
1166,44
1168,43
1170,42
1172,41
1174,40
1176,39
1178,38
1180,37
1182,36
1184,35
1186,34
1188,33
1190,32
1192,32
1194,31
1196,30
1198,29
1200,28
1202,27
1204,26
1206,25
1208,24
1210,23
1212,22
1214,21
1216,20
1218,19
1220,18
1222,18
1224,17
1226,16
1228,15
1230,14
1232,13
1234,13
1236,12
1238,11
1240,10
1242,9
1244,8
1246,7
1248,7
1250,6
1252,5
1254,4
1256,3
1258,2
1260,1
1262,1
1264,1
1266,1
1268,1
1270,1
1272,1
1274,1
1276,1
1278,1
1280,1
1282,2
1284,3
1286,4
1288,5
1290,6
1292,7
1294,8
1296,9
1298,10
1300,11
1302,12
1304,13
1306,14
1308,15
1310,16
1312,17
1314,18
1316,19
1318,20
1320,21
1322,22
1324,23
1326,24
1328,25
1330,26
1332,27
1334,28
1336,29
1338,30
1340,31
1342,32
1344,33
1346,34
1348,35
1350,36
1352,37
1354,38
1356,39
1358,40
1360,41
1362,42
1364,43
1366,44
1368,45
1370,46
1372,47
1374,48
1376,49
1378,50
1380,51
1382,52
1384,53
1386,54
1388,55
1390,56
1392,57
1394,58
1396,59
1398,60
1400,60
1402,61
1404,62
1406,63
1408,64
1410,65
1412,66
1414,67
1416,68
1418,69
1420,70
1422,71
1424,72
1426,73
1428,74
1430,75
1432,76
1434,77
1436,78
1438,79
1440,80
1442,81
1444,82
1446,83
1448,84
1450,85
1452,86
1454,87
1456,88
1458,89
1460,90
1462,91
1464,92
1466,93
1468,94
1470,95
1472,96
1474,97
1476,96
1478,95
1480,94
1482,93
1484,92
1486,91
1488,90
1490,89
1492,88
1494,87
1496,86
1498,85
1500,84
1502,83
1504,82
1506,81
1508,80
1510,79
1512,78
1514,77
1516,76
1518,75
1520,74
1522,73
1524,72
1526,71
1528,70
1530,69
1532,68
1534,67
1536,66
1538,65
1540,64
1542,63
1544,62
1546,61
1548,60
1550,59
1552,58
1554,57
1556,56
1558,55
1560,55
1562,54
1564,53
1566,52
1568,51
1570,50
1572,49
1574,48
1576,47
1578,46
1580,45
1582,44
1584,43
1586,42
1588,41
1590,40
1592,39
1594,38
1596,37
1598,36
1600,35
1602,34
1604,33
1606,32
1608,31
1610,30
1612,29
1614,28
1616,27
1618,26
1620,25
1622,24
1624,23
1626,22
1628,21
1630,20
1632,20
1634,19
1636,18
1638,17
1640,16
1642,15
1644,14
1646,13
1648,12
1650,11
1652,10
1654,9
1656,8
1658,7
1660,6
1662,6
1664,6
1666,6
1668,6
1670,6
1672,7
1674,8
1676,9
1678,10
1680,11
1682,12
1684,13
1686,14
1688,15
1690,16
1692,17
1694,18
1696,19
1698,20
1700,21
1702,22
1704,23
1706,24
1708,25
1710,26
1712,27
1714,28
1716,29
1718,30
1720,31
1722,32
1724,33
1726,34
1728,35
1730,36
1732,37
1734,38
1736,39
1738,40
1740,40
1742,39
1744,38
1746,37
1748,36
1750,35
1752,34
1754,33
1756,32
1758,31
1760,30
1762,29
1764,28
1766,27
1768,26
1770,25
1772,24
1774,23
1776,22
1778,21
1780,20
1782,19
1784,18
1786,17
1788,16
1790,15
1792,14
1794,13
1796,12
1798,11
1800,10
1802,9
1804,8
1806,7
1808,6
1810,5
1812,4
1814,3
1816,2
1818,3
1820,4
1822,5
1824,6
1826,7
1828,8
1830,9
1832,10
1834,11
1836,12
1838,13
1840,14
1842,15
1844,16
1846,17
1848,18
1850,19
1852,20
1854,21
1856,22
1858,23
1860,24
1862,25
1864,26
1866,27
1868,28
1870,29
1872,30
1874,31
1876,32
1878,33
1880,34
1882,35
1884,36
1886,37
1888,38
1890,39
1892,40
1894,41
1896,42
1898,43
1900,44
1902,45
1904,45
1906,46
1908,47
1910,48
1912,49
1914,50
1916,51
1918,52
1920,53
1922,54
1924,55
1926,56
1928,57
1930,58
1932,59
1934,60
1936,61
1938,62
1940,63
1942,64
1944,65
1946,66
1948,67
1950,68
1952,68
1954,69
1956,70
1958,71
1960,72
1962,73
1964,74
1966,75
1968,76
1970,77
1972,78
1974,78
1976,79
1978,80
1980,80
1982,81
1984,82
1986,83
1988,84
1990,85
1992,86
1994,87
1996,88
1998,89
2000,90
2002,91
2004,91
2006,92
2008,93
2010,94
2012,95
2014,96
2016,97
2018,98
2020,99
2022,98
2024,97
2026,96
2028,95
2030,95
2032,94
2034,93
2036,92
2038,91
2040,90
2042,89
2044,88
2046,87
2048,86
2050,85
2052,84
2054,83
2056,82
2058,81
2060,80
2062,79
2064,78
2066,77
2068,76
2070,75
2072,75
2074,74
2076,73
2078,72
2080,71
2082,70
2084,69
2086,68
2088,67
2090,67
2092,66
2094,65
2096,64
2098,63
2100,62
2102,61
2104,60
2106,59
2108,58
2110,58
2112,57
2114,56
2116,55
2118,54
2120,53
2122,52
2124,51
2126,50
2128,49
2130,48
2132,47
2134,46
2136,45
2138,44
2140,43
2142,42
2144,42
2146,41
2148,40
2150,39
2152,38
2154,37
2156,36
2158,35
2160,34
2162,33
2164,32
2166,31
2168,30
2170,29
2172,28
2174,27
2176,27
2178,26
2180,25
2182,24
2184,23
2186,22
2188,21
2190,20
2192,19
2194,18
2196,17
2198,16
2200,15
2202,14
2204,15
2206,16
2208,17
2210,18
2212,19
2214,20
2216,21
2218,22
2220,23
2222,24
2224,25
2226,26
2228,27
2230,28
2232,29
2234,29
2236,30
2238,31
2240,32
2242,33
2244,34
2246,35
2248,36
2250,37
2252,38
2254,39
2256,40
2258,41
2260,42
2262,43
2264,44
2266,45
2268,46
2270,47
2272,48
2274,49
2276,50
2278,51
2280,52
2282,53
2284,54
2286,55
2288,56
2290,57
2292,58
2294,59
2296,60
2298,61
2300,62
2302,63
2304,64
2306,65
2308,66
2310,67
2312,68
2314,69
2316,70
2318,71
2320,72
2322,73
2324,74
2326,75
2328,76
2330,77
2332,78
2334,79
2336,80
2338,81
2340,82
2342,83
2344,84
2346,85
2348,86
2350,87
2352,88
2354,89
2356,88
2358,87
2360,86
2362,85
2364,84
2366,83
2368,82
2370,81
2372,80
2374,79
2376,78
2378,77
2380,76
2382,75
2384,74
2386,73
2388,72
2390,71
2392,70
2394,69
2396,68
2398,67
2400,66
2402,65
2404,64
2406,63
2408,62
2410,61
2412,60
2414,59
2416,58
2418,57
2420,56
2422,55
2424,54
2426,53
2428,52
2430,51
2432,50
2434,49
2436,48
2438,47
2440,46
2442,45
2444,44
2446,43
2448,42
2450,42
2452,41
2454,40
2456,39
2458,38
2460,37
2462,36
2464,35
2466,34
2468,33
2470,32
2472,31
2474,30
2476,30
2478,29
2480,28
2482,27
2484,26
2486,25
2488,24
2490,23
2492,22
2494,21
2496,20
2498,20
2500,19
2502,18
2504,17
2506,16
2508,15
2510,14
2512,13
2514,12
2516,11
2518,10
2520,9
2522,9
2524,8
2526,7
2528,6
2530,6
2532,5
2534,4
2536,3
2538,2
2540,1
2542,0
2544,1
2546,2
2548,3
2550,4
2552,5
2554,6
2556,7
2558,8
2560,9
2562,10
2564,11
2566,12
2568,13
2570,14
2572,15
2574,16
2576,17
2578,18
2580,19
2582,20
2584,21
2586,22
2588,23
2590,24
2592,25
2594,26
2596,27
2598,28
2600,29
2602,30
2604,31
2606,32
2608,33
2610,34
2612,35
2614,36
2616,37
2618,38
2620,39
2622,40
2624,41
2626,42
2628,43
2630,44
2632,45
2634,46
2636,47
2638,48
2640,49
2642,50
2644,51
2646,52
2648,53
2650,54
2652,55
2654,56
2656,57
2658,58
2660,58
2662,59
2664,60
2666,61
2668,62
2670,63
2672,64
2674,65
2676,66
2678,67
2680,68
2682,69
2684,70
2686,71
2688,72
2690,73
2692,74
2694,75
2696,76
2698,77
2700,78
2702,79
2704,80
2706,80
2708,81
2710,82
2712,83
2714,84
2716,85
2718,86
2720,87
2722,88
2724,89
2726,90
2728,91
2730,92
2732,93
2734,94
2736,95
2738,95
2740,95
2742,95
2744,95
2746,95
2748,95
2750,95
2752,95
2754,95
2756,95
2758,95
2760,95
2762,94
2764,93
2766,92
2768,91
2770,90
2772,89
2774,88
2776,87
2778,86
2780,85
2782,84
2784,83
2786,82
2788,81
2790,80
2792,79
2794,78
2796,77
2798,76
2800,75
2802,74
2804,73
2806,72
2808,71
2810,70
2812,69
2814,68
2816,67
2818,66
2820,65
2822,64
2824,63
2826,62
2828,61
2830,60
2832,59
2834,58
2836,57
2838,56
2840,55
2842,54
2844,53
2846,52
2848,51
2850,50
2852,49
2854,48
2856,47
2858,46
2860,45
2862,44
2864,43
2866,42
2868,41
2870,40
2872,40
2874,41
2876,42
2878,43
2880,44
2882,45
2884,46
2886,47
2888,48
2890,49
2892,50
2894,51
2896,52
2898,53
2900,53
2902,54
2904,55
2906,56
2908,57
2910,58
2912,59
2914,60
2916,61
2918,62
2920,63
2922,64
2924,65
2926,66
2928,67
2930,68
2932,69
2934,70
2936,71
2938,72
2940,73
2942,74
2944,75
2946,76
2948,77
2950,78
2952,79
2954,80
2956,81
2958,82
2960,83
2962,84
2964,85
2966,86
2968,87
2970,88
2972,89
2974,90
2976,91
