Tick,Current Floor
2,0
4,0
6,0
8,0
10,0
12,0
14,0
16,0
18,0
20,0
22,0
24,0
26,0
28,0
30,0
32,0
34,0
36,0
38,0
40,0
42,0
44,0
46,0
48,0
50,0
52,0
54,0
56,0
58,0
60,0
62,0
64,0
66,0
68,0
70,0
72,0
74,0
76,0
78,0
80,0
82,0
84,0
86,1
88,2
90,3
92,4
94,5
96,6
98,7
100,8
102,9
104,10
106,11
108,12
110,13
112,14
114,15
116,16
118,17
120,18
122,19
124,20
126,21
128,22
130,23
132,24
134,25
136,26
138,27
140,28
142,29
144,30
146,31
148,32
150,33
152,34
154,35
156,36
158,36
160,37
162,38
164,39
166,40
168,41
170,42
172,43
174,44
176,45
178,46
180,47
182,48
184,49
186,50
188,51
190,52
192,53
194,54
196,55
198,56
200,57
202,58
204,59
206,60
208,61
210,62
212,63
214,64
216,65
218,66
220,67
222,68
224,69
226,70
228,71
230,72
232,73
234,74
236,75
238,76
240,77
242,78
244,79
246,80
248,80
250,81
252,82
254,83
256,84
258,85
260,86
262,87
264,88
266,89
268,88
270,87
272,86
274,85
276,84
278,83
280,82
282,81
284,80
286,79
288,78
290,77
292,76
294,75
296,74
298,73
300,72
302,71
304,70
306,69
308,68
310,67
312,66
314,65
316,64
318,63
320,62
322,61
324,60
326,59
328,58
330,57
332,56
334,55
336,54
338,53
340,52
342,51
344,50
346,49
348,48
350,47
352,46
354,45
356,44
358,43
360,42
362,41
364,40
366,39
368,38
370,37
372,36
374,35
376,34
378,33
380,32
382,31
384,30
386,29
388,28
390,27
392,26
394,25
396,24
398,23
400,22
402,21
404,20
406,19
408,18
410,17
412,16
414,15
416,14
418,13
420,12
422,11
424,10
426,9
428,8
430,7
432,6
434,5
436,4
438,3
440,2
442,1
444,0
446,0
448,1
450,2
452,3
454,4
456,5
458,6
460,7
462,8
464,9
466,9
468,10
470,11
472,12
474,13
476,14
478,15
480,16
482,17
484,18
486,19
488,20
490,21
492,22
494,23
496,24
498,25
500,26
502,27
504,28
506,29
508,30
510,31
512,32
514,33
516,34
518,35
520,36
522,37
524,38
526,39
528,40
530,41
532,42
534,43
536,44
538,45
540,46
542,47
544,48
546,49
548,50
550,51
552,52
554,53
556,54
558,54
560,55
562,56
564,57
566,58
568,59
570,60
572,61
574,62
576,63
578,64
580,65
582,65
584,65
586,65
588,65
590,65
592,65
594,65
596,65
598,65
600,65
602,65
604,65
606,65
608,65
610,65
612,65
614,65
616,65
618,65
620,65
622,65
624,65
626,65
628,65
630,65
632,65
634,65
636,65
638,65
640,65
642,65
644,65
646,65
648,65
650,65
652,65
654,65
656,65
658,65
660,65
662,65
664,65
666,65
668,65
670,65
672,65
674,65
676,65
678,65
680,65
682,65
684,65
686,65
688,65
690,65
692,65
694,65
696,65
698,65
700,65
702,65
704,65
706,65
708,65
710,65
712,65
714,65
716,65
718,65
720,65
722,65
724,65
726,65
728,65
730,65
732,65
734,65
736,65
738,65
740,65
742,65
744,65
746,65
748,65
750,65
752,65
754,65
756,65
758,65
760,65
762,65
764,65
766,65
768,65
770,65
772,65
774,65
776,65
778,65
780,65
782,65
784,65
786,65
788,65
790,65
792,65
794,65
796,65
798,65
800,65
802,65
804,65
806,65
808,65
810,65
812,65
814,65
816,65
818,65
820,65
822,65
824,65
826,65
828,65
830,65
832,65
834,65
836,65
838,65
840,65
842,65
844,65
846,65
848,65
850,65
852,65
854,65
856,65
858,65
860,65
862,65
864,65
866,65
868,65
870,65
872,65
874,65
876,65
878,65
880,65
882,65
884,65
886,65
888,65
890,65
892,65
894,65
896,65
898,65
900,65
902,65
904,65
906,65
908,65
910,65
912,65
914,65
916,65
918,65
920,65
922,65
924,65
926,65
928,65
930,65
932,65
934,65
936,65
938,65
940,65
942,65
944,65
946,65
948,65
950,65
952,65
954,65
956,65
958,65
960,65
962,65
964,65
966,65
968,65
970,65
972,65
974,65
976,65
978,65
980,65
982,65
984,65
986,65
988,65
990,65
992,65
994,65
996,65
998,65
1000,65
1002,65
1004,65
1006,65
1008,65
1010,65
1012,65
1014,65
1016,65
1018,65
1020,65
1022,65
1024,65
1026,65
1028,65
1030,65
1032,65
1034,65
1036,65
1038,65
1040,65
1042,65
1044,65
1046,65
1048,65
1050,65
1052,65
1054,65
1056,65
1058,65
1060,65
1062,65
1064,65
1066,65
1068,65
1070,65
1072,65
1074,65
1076,65
1078,65
1080,65
1082,65
1084,65
1086,65
1088,65
1090,65
1092,65
1094,65
1096,65
1098,65
1100,65
1102,65
1104,65
1106,65
1108,65
1110,65
1112,65
1114,65
1116,65
1118,65
1120,65
1122,65
1124,65
1126,65
1128,65
1130,65
1132,65
1134,65
1136,65
1138,65
1140,65
1142,65
1144,65
1146,65
1148,65
1150,65
1152,65
1154,65
1156,65
1158,65
1160,65
1162,65
1164,65
1166,65
1168,65
1170,65
1172,65
1174,65
1176,65
1178,65
1180,65
1182,65
1184,65
1186,65
1188,65
1190,65
1192,65
1194,65
1196,65
1198,65
1200,65
1202,65
1204,65
1206,65
1208,65
1210,65
1212,65
1214,65
1216,65
1218,65
1220,65
1222,65
1224,65
1226,65
1228,65
1230,65
1232,65
1234,65
1236,65
1238,65
1240,65
1242,65
1244,65
1246,65
1248,65
1250,65
1252,65
1254,65
1256,65
1258,65
1260,65
1262,65
1264,65
1266,65
1268,65
1270,65
1272,65
1274,65
1276,65
1278,65
1280,65
1282,65
1284,65
1286,65
1288,65
1290,65
1292,65
1294,65
1296,65
1298,65
1300,65
1302,65
1304,65
1306,65
1308,65
1310,65
1312,65
1314,65
1316,65
1318,65
1320,65
1322,65
1324,65
1326,65
1328,65
1330,65
1332,65
1334,65
1336,65
1338,65
1340,65
1342,65
1344,65
1346,65
1348,65
1350,65
1352,65
1354,65
1356,65
1358,65
1360,65
1362,65
1364,65
1366,65
1368,65
1370,65
1372,65
1374,65
1376,65
1378,65
1380,65
1382,65
1384,65
1386,65
1388,65
1390,65
1392,65
1394,65
1396,65
1398,65
1400,65
1402,65
1404,65
1406,65
1408,65
1410,65
1412,65
1414,65
1416,65
1418,65
1420,65
1422,65
1424,65
1426,65
1428,65
1430,65
1432,65
1434,65
1436,65
1438,65
1440,65
1442,65
1444,65
1446,65
1448,65
1450,65
1452,65
1454,65
1456,65
1458,65
1460,65
1462,65
1464,65
1466,65
1468,65
1470,65
1472,65
1474,65
1476,65
1478,65
1480,65
1482,65
1484,65
1486,65
1488,65
1490,65
1492,65
1494,65
1496,65
1498,65
1500,65
1502,65
1504,65
1506,65
1508,65
1510,65
1512,65
1514,65
1516,65
1518,65
1520,65
1522,65
1524,65
1526,65
1528,65
1530,65
1532,65
1534,65
1536,65
1538,65
1540,65
1542,65
1544,65
1546,65
1548,65
1550,65
1552,65
1554,65
1556,65
1558,65
1560,65
1562,65
1564,65
1566,65
1568,65
1570,65
1572,65
1574,65
1576,65
1578,65
1580,65
1582,65
1584,65
1586,65
1588,65
1590,65
1592,65
1594,65
1596,65
1598,65
1600,65
1602,65
1604,65
1606,65
1608,65
1610,65
1612,65
1614,65
1616,65
1618,65
1620,65
1622,65
1624,65
1626,65
1628,65
1630,65
1632,65
1634,65
1636,65
1638,65
1640,65
1642,65
1644,65
1646,65
1648,65
1650,65
1652,65
1654,65
1656,65
1658,65
1660,65
1662,65
1664,65
1666,65
1668,65
1670,65
1672,65
1674,65
1676,65
1678,65
1680,65
1682,65
1684,65
1686,65
1688,65
1690,65
1692,65
1694,65
1696,65
1698,65
1700,65
1702,65
1704,65
1706,65
1708,65
1710,65
1712,65
1714,65
1716,65
1718,65
1720,65
1722,65
1724,65
1726,65
1728,65
1730,65
1732,65
1734,65
1736,65
1738,65
1740,65
1742,65
1744,65
1746,65
1748,65
1750,65
1752,65
1754,65
1756,65
1758,65
1760,65
1762,65
1764,65
1766,65
1768,65
1770,65
1772,65
1774,65
1776,65
1778,65
1780,65
1782,65
1784,65
1786,65
1788,65
1790,65
1792,65
1794,65
1796,65
1798,65
1800,65
1802,65
1804,65
1806,65
1808,65
1810,65
1812,65
1814,65
1816,65
1818,65
1820,65
1822,65
1824,65
1826,65
1828,65
1830,65
1832,65
1834,65
1836,65
1838,65
1840,65
1842,65
1844,65
1846,65
1848,65
1850,65
1852,65
1854,65
1856,65
1858,65
1860,65
1862,65
1864,65
1866,65
1868,65
1870,65
1872,65
1874,65
1876,65
1878,65
1880,65
1882,65
1884,65
1886,65
1888,65
1890,65
1892,65
1894,65
1896,65
1898,65
1900,65
1902,65
1904,65
1906,65
1908,65
1910,65
1912,65
1914,65
1916,65
1918,65
1920,65
1922,65
1924,65
1926,65
1928,65
1930,65
1932,65
1934,65
1936,65
1938,65
1940,65
1942,65
1944,65
1946,65
1948,65
1950,65
1952,65
1954,65
1956,65
1958,65
1960,65
1962,65
1964,65
1966,65
1968,65
1970,65
1972,65
1974,65
1976,65
1978,65
1980,65
1982,65
1984,65
1986,65
1988,65
1990,65
1992,65
1994,65
1996,65
1998,65
2000,65
2002,65
2004,65
2006,65
2008,65
2010,65
2012,65
2014,65
2016,65
2018,65
2020,65
2022,65
2024,65
2026,65
2028,65
2030,65
2032,65
2034,65
2036,65
2038,65
2040,65
2042,65
2044,65
2046,65
2048,65
2050,65
2052,65
2054,65
2056,65
2058,65
2060,65
2062,65
2064,65
2066,65
2068,65
2070,65
2072,65
2074,65
2076,65
2078,65
2080,65
2082,65
2084,65
2086,65
2088,65
2090,65
2092,65
2094,65
2096,65
2098,65
2100,65
2102,65
2104,65
2106,65
2108,65
2110,65
2112,65
2114,65
2116,65
2118,65
2120,65
2122,65
2124,65
2126,65
2128,65
2130,65
2132,65
2134,65
2136,65
2138,65
2140,65
2142,65
2144,65
2146,65
2148,65
2150,65
2152,65
2154,65
2156,65
2158,65
2160,65
2162,65
2164,65
2166,65
2168,65
2170,65
2172,65
2174,65
2176,65
2178,65
2180,65
2182,65
2184,65
2186,65
2188,65
2190,65
2192,65
2194,65
2196,65
2198,65
2200,65
2202,65
2204,65
2206,65
2208,65
2210,65
2212,65
2214,65
2216,65
2218,65
2220,65
2222,65
2224,65
2226,65
2228,65
2230,65
2232,65
2234,65
2236,65
2238,65
2240,65
2242,65
2244,65
2246,65
2248,65
2250,65
2252,65
2254,65
2256,65
2258,65
2260,65
2262,65
2264,65
2266,65
2268,65
2270,65
2272,65
2274,65
2276,65
2278,65
2280,65
2282,65
2284,65
2286,65
2288,65
2290,65
2292,65
2294,65
2296,65
2298,65
2300,65
2302,65
2304,65
2306,65
2308,65
2310,65
2312,65
2314,65
2316,65
2318,65
2320,65
2322,65
2324,65
2326,65
2328,65
2330,65
2332,65
2334,65
2336,65
2338,65
2340,65
2342,65
2344,65
2346,65
2348,65
2350,65
2352,65
2354,65
2356,65
2358,65
2360,65
2362,65
2364,65
2366,65
2368,65
2370,65
2372,65
2374,65
2376,65
2378,65
2380,65
2382,65
2384,65
2386,65
2388,65
2390,65
2392,65
2394,65
2396,65
2398,65
2400,65
2402,65
2404,65
2406,65
2408,65
2410,65
2412,65
2414,65
2416,65
2418,65
2420,65
2422,65
2424,65
2426,65
2428,65
2430,65
2432,65
2434,65
2436,65
2438,65
2440,65
2442,65
2444,65
2446,65
2448,65
2450,65
2452,65
2454,65
2456,65
2458,65
2460,65
2462,65
2464,65
2466,65
2468,65
2470,65
2472,65
2474,65
2476,65
2478,65
2480,65
2482,65
2484,65
2486,65
2488,65
2490,65
2492,65
2494,65
2496,65
2498,65
2500,65
2502,65
2504,65
2506,65
2508,65
2510,65
2512,65
2514,65
2516,65
2518,65
2520,65
2522,65
2524,65
2526,65
2528,65
2530,65
2532,65
2534,65
2536,65
2538,65
2540,65
2542,65
2544,65
2546,65
2548,65
2550,65
2552,65
2554,65
2556,65
2558,65
2560,65
2562,65
2564,65
2566,65
2568,65
2570,65
2572,65
2574,65
2576,65
2578,65
2580,65
2582,65
2584,65
2586,65
2588,65
2590,65
2592,65
2594,65
2596,65
2598,65
2600,65
2602,65
2604,65
2606,65
2608,65
2610,65
2612,65
2614,65
2616,65
2618,65
2620,65
2622,65
2624,65
2626,65
2628,65
2630,65
2632,65
2634,65
2636,65
2638,65
2640,65
2642,65
2644,65
2646,65
2648,65
2650,65
2652,65
2654,65
2656,65
2658,65
2660,65
2662,65
2664,65
2666,65
2668,65
2670,65
2672,65
2674,65
2676,65
2678,65
2680,65
2682,65
2684,65
2686,65
2688,65
2690,65
2692,65
2694,65
2696,65
2698,65
2700,65
2702,65
2704,65
2706,65
2708,65
2710,65
2712,65
2714,65
2716,65
2718,65
2720,65
2722,65
2724,65
2726,65
2728,65
2730,65
2732,65
2734,65
2736,65
2738,65
2740,65
2742,65
2744,65
2746,65
2748,65
2750,65
2752,65
2754,65
2756,65
2758,65
2760,65
2762,65
2764,65
2766,65
2768,65
2770,65
2772,65
2774,65
2776,65
2778,65
2780,65
2782,65
2784,65
2786,65
2788,65
2790,65
2792,65
2794,65
2796,65
2798,65
2800,65
2802,65
2804,65
2806,65
2808,65
2810,65
2812,65
2814,65
2816,65
2818,65
2820,65
2822,65
2824,65
2826,65
2828,65
2830,65
2832,65
2834,65
2836,65
2838,65
2840,65
2842,65
2844,65
2846,65
2848,65
2850,65
2852,65
2854,65
2856,65
2858,65
2860,65
2862,65
2864,65
2866,65
2868,65
2870,65
2872,65
2874,65
2876,65
2878,65
2880,65
2882,65
2884,65
2886,65
2888,65
2890,65
2892,65
2894,65
2896,65
2898,65
2900,65
2902,65
2904,65
2906,65
2908,65
2910,65
2912,65
2914,65
2916,65
2918,65
2920,65
2922,65
2924,65
2926,65
2928,65
2930,65
2932,65
2934,65
2936,65
2938,65
2940,65
2942,65
2944,65
2946,65
2948,65
2950,65
2952,65
2954,65
2956,65
2958,65
2960,65
2962,65
2964,65
2966,65
2968,65
2970,65
2972,65
2974,65
2976,65
